polarity,tau,depth_m,epsilon_tilt_median,epsilon_curvature_median,epsilon_curvature_p90,jacobian_min,jacobian_max,metric_valid_fraction,metric_invalid_or_large_curvature_fraction
anticyclonic,0.5,1795.6707763671875,31.724345379650075,12.080914079830563,21.342948207700662,-22.6582264041288,24.6582264041288,0.041666666666666664,0.9583333333333334
anticyclonic,0.5,1945.2955322265625,6.0888584659393015,133.3172936957601,235.5272188625095,-259.8445191143353,261.8445191143353,0.0,1.0
cyclonic,0.5,0.5057600140571594,1489.2326194452453,2.6730647439710635,4.722414381015545,-4.233079743224145,6.233079743224145,0.16666666666666666,0.8333333333333334
cyclonic,0.5,1.5558552742004395,1044.5350411397908,3.833930859120543,6.77327785111296,-6.5076656189647935,8.507665618964793,0.125,0.875
cyclonic,0.5,2.6676816940307617,599.5113967933038,10.042423123765968,17.741614185319875,-18.65001109385635,20.650011093856346,0.041666666666666664,0.9583333333333334
cyclonic,0.5,3.8562798500061035,571.224757837702,15.342262808436075,27.104664294903735,-29.044846127807226,31.044846127807226,0.041666666666666664,0.9583333333333334
cyclonic,0.5,5.140361309051514,566.4539775456755,15.736127802685143,27.800492451410417,-29.808827317674474,31.80882731767447,0.041666666666666664,0.9583333333333334
cyclonic,0.5,6.543033599853516,534.5662007244997,38.05895705212605,67.23749079208936,-73.49606802381521,75.4960680238152,0.0,1.0
cyclonic,0.5,8.09251880645752,432.0244326893515,16.410773472484728,28.99236646805635,-31.134767072570195,33.13476707257019,0.041666666666666664,0.9583333333333334
cyclonic,0.5,9.822750091552734,201.4304280905065,42.69551044964991,75.42873512771484,-82.58466292173902,84.58466292173902,0.0,1.0
cyclonic,0.5,11.773679733276367,177.02848390173506,74.7925420358986,132.13349093008753,-145.46834836390693,147.46834836390693,0.0,1.0
cyclonic,0.5,13.99103832244873,309.4731491953661,23.226974398971468,41.03432143818293,-44.48606421653408,46.48606421653408,0.041666666666666664,0.9583333333333334
cyclonic,0.5,16.52532196044922,313.8591277877768,16.579912649379292,29.291179013903417,-31.46488141483282,33.464881414832824,0.041666666666666664,0.9583333333333334
cyclonic,0.5,19.42980194091797,197.34519061190278,41.497504864908606,73.31225859467187,-80.19436699675327,82.19436699675327,0.0,1.0
cyclonic,0.5,22.75761604309082,209.90669109558556,3.001180548972423,5.302085636517947,-4.876622910964495,6.876622910964494,0.16666666666666666,0.8333333333333334
cyclonic,0.5,26.558300018310547,170.50952841272175,38.7695856950382,68.49293472790082,-74.87787383140105,76.87787383140105,0.0,1.0
cyclonic,0.5,30.874561309814453,116.83836174458699,29.215943112891562,51.61483283277509,-56.19481699764053,58.19481699764053,0.0,1.0
cyclonic,0.5,35.740203857421875,88.90879270618278,17.348270511035153,30.6486112361621,-32.94486206922756,34.94486206922756,0.041666666666666664,0.9583333333333334
cyclonic,0.5,41.180023193359375,55.409649338145044,9.517531593928908,16.814305815941072,-17.624087943788044,19.624087943788044,0.041666666666666664,0.9583333333333334
cyclonic,0.5,47.21189498901367,50.88922297056337,16.171430852146266,28.569527838791732,-30.655194044205675,32.65519404420567,0.041666666666666664,0.9583333333333334
